No,Judul,Pengarang,Penerbit,Jumlah
1,Anugerah Gunung Merapi,Wiwik Sulistiyorini S.Pd.,CV. MEDIATAMA,4
2,100 Hadits Qudsi,M. Fahmi Hadi,CV MEGAH JAYA,11
3,99 Asmaul Husna,Mutaroh Akmal,NAVILA,1
4,Cerita Petualangan Si Kancil,Tim Penulis,PT. Pustaka Rizki Putra,5
5,Ayo Belajar Menghitung WARIS,HIDAYAT,IMTIMA,3
6,Kisah Misteri Hantu Gunung,Penulis Fiksi,CV. MEDIATAMA,2
7,AYO BELAJAR SHALAT SUNAT!,HIDAYAT,IMTIMA,2
8,Novel Cinta di Sekolah,Penulis Novel,PT. Pustaka Rizki Putra,3
9,Active Learning 101 Strategi Pembelajaran Aktif,Mel Silberman,YAPPENDIS,1
10,Dongeng Putri Salju,Tim Penulis Dongeng,CV. MEDIATAMA,6
