No,Judul,Pengarang,Penerbit,Jumlah
1,100 Hadits Qudsi,M. Fahmi Hadi,CV MEGAH JAYA,11
2,99 Asmaul Husna,Mutaroh Akmal,NAVILA,1
3,Active Learning 101 Strategi Pembelajaran Aktif,Mel Silberman,YAPPENDIS,1
4,Anugerah Gunung Merapi,Wiwik Sulistiyorini S.Pd.,CV. MEDIATAMA,4
5,Asyik Bermain Musik,Khamim,PT WIDYA DUTA GRAFIKA,1
6,Ayo Belajar Menghitung WARIS,HIDAYAT,IMTIMA,3
7,Ayo Bangun untuk Shalat Subuh,Dewi Astuti,IMTIMA,2
8,AYO BELAJAR SHALAT SUNAT!,HIDAYAT,IMTIMA,2
9,Ayo Mengukur Berat,Alanna Faradiani Dudi Ferdiana,CV GRAHA ILMU MULIA,9
10,Bahasa Indonesia Kelas VII,Tim Penulis,Erlangga,25
