No,Judul,Pengarang,Penerbit,Jumlah
1,100 Hadits Qudsi,M. Fahmi Hadi,CV MEGAH JAYA,11
2,99 Asmaul Husna,Mutaroh Akmal,NAVILA,1
3,Active Learning 101 Strategi Pembelajaran Aktif,Mel Silberman,YAPPENDIS,1
4,Anugerah Gunung Merapi,Wiwik Sulistiyorini S.Pd.,CV. MEDIATAMA,4
5,Asyik Bermain Musik,Khamim,PT WIDYA DUTA GRAFIKA,1
6,Ayo Belajar Menghitung WARIS,HIDAYAT,IMTIMA,3
7,Ayo Bangun untuk Shalat Subuh,Dewi Astuti,IMTIMA,2
8,AYO BELAJAR SHALAT SUNAT!,HIDAYAT,IMTIMA,2
9,Ayo Mengukur Berat,Alanna Faradiani Dudi Ferdiana,CV GRAHA ILMU MULIA,9
10,Ayo Mengukur Jarak,Alanna Faradiani Dudi Ferdiana,CV GRAHA ILMU MULIA,9
11,Ayo Mengukur Kelajuan,Alanna Faradiani Dudi Ferdiana,CV GRAHA ILMU MULIA,8
12,Ayo Mengukur Suhu,Alanna Faradiani Dudi Ferdiana,CV GRAHA ILMU MULIA,7
13,Ayo Mengukur Tinggi,Alanna Faradiani Dudi Ferdiana,CV GRAHA ILMU MULIA,9
14,BAHAYA NEOLIBERALISME,Revrisond Baswir,PUSTAKA PELAJAR,1
15,BERCOCOK TANAM KOPI,AKSI AGRARIS KANISIUS,KANISIUS,2
16,BERCOCOK TANAM PADI,SUGENG HR,aneka ilmu SEMARANG,1
17,BERCOCOK TANAM POHON BUAH-BUAHAN Yang Baik & Benar,Oma Zaedin,Intermasa,1
18,BERKARYA Selagi MUDA,Drs. Rudi Darmawan,GAMA MEDIA,1
19,Bersahabat dengan Alam,Ediar Buana,Balai Pustaka,1
20,BERTANAM TANPA TANAH,SRI EKA WIDIASTUTI,PT INDAHJAYA Adipratama,1
